
2025/01/22 (10:47:56) | ===> btop++ v.1.4.0
2025/01/22 (10:47:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (10:48:20) | ===> btop++ v.1.4.0
2025/01/22 (10:48:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (14:56:26) | ===> btop++ v.1.4.0
2025/01/22 (14:56:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (15:12:30) | ===> btop++ v.1.4.0
2025/01/24 (15:12:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (15:20:35) | ===> btop++ v.1.4.0
2025/01/24 (15:20:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (15:40:00) | ===> btop++ v.1.4.0
2025/01/24 (15:40:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (15:40:05) | ===> btop++ v.1.4.0
2025/01/24 (15:40:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (15:41:26) | ===> btop++ v.1.4.0
2025/01/24 (15:41:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:07:15) | ===> btop++ v.1.4.0
2025/01/24 (19:07:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:20:59) | ===> btop++ v.1.4.0
2025/01/24 (19:20:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:28:58) | ===> btop++ v.1.4.0
2025/01/24 (19:28:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:32:55) | ===> btop++ v.1.4.0
2025/01/24 (19:32:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:36:09) | ===> btop++ v.1.4.0
2025/01/24 (19:36:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:36:19) | ===> btop++ v.1.4.0
2025/01/24 (19:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:39:27) | ===> btop++ v.1.4.0
2025/01/24 (19:39:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:40:47) | ===> btop++ v.1.4.0
2025/01/24 (19:40:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (19:56:21) | ===> btop++ v.1.4.0
2025/01/24 (19:56:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (11:52:46) | ===> btop++ v.1.4.0
2025/01/27 (11:52:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (12:01:39) | ===> btop++ v.1.4.0
2025/01/27 (12:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (16:13:27) | ===> btop++ v.1.4.0
2025/01/27 (16:13:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (16:18:20) | ===> btop++ v.1.4.0
2025/01/27 (16:18:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (16:36:06) | ===> btop++ v.1.4.0
2025/01/27 (16:36:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (20:47:21) | ===> btop++ v.1.4.0
2025/02/01 (20:47:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (20:47:31) | ===> btop++ v.1.4.0
2025/02/01 (20:47:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (21:08:50) | ===> btop++ v.1.4.0
2025/02/02 (21:08:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (19:14:18) | ===> btop++ v.1.4.0
2025/02/03 (19:14:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (19:40:34) | ===> btop++ v.1.4.0
2025/02/03 (19:40:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (20:48:54) | ===> btop++ v.1.4.0
2025/02/03 (20:48:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (21:32:52) | ===> btop++ v.1.4.0
2025/02/03 (21:32:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (21:46:19) | ===> btop++ v.1.4.0
2025/02/03 (21:46:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (23:04:48) | ===> btop++ v.1.4.0
2025/02/03 (23:04:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (23:48:13) | ===> btop++ v.1.4.0
2025/02/03 (23:48:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/04 (01:27:19) | ===> btop++ v.1.4.0
2025/02/04 (01:27:19) | WARNING: Intel GPU: Failed to initialize PMU
